signal_date,characteristics,matched_securities,ic,spread,turnover_two_legs,net_spread_25bps
2021-07-30,67,2964,0.05750054121567671,0.02009367982056471,0.7439899833055091,0.018233704862300935
2021-08-31,67,2999,-0.05606571219810554,-0.00618490985500641,0.7893399889073766,-0.00815825982727485
2021-09-30,67,2996,0.10154738918158998,0.02125321559103161,0.7544065446478092,0.019367199229412088
2021-11-30,67,2998,0.12286963786395805,0.02184513518976008,0.7305898720089038,0.020018660509737822
2021-12-31,67,1831,0.01684236716953925,0.02113370796612447,1.3244518642181413,0.017822578305579116
2022-01-31,67,2142,0.13950261354149163,0.046269255842978224,1.265118837548744,0.04310645874910636
2022-02-28,67,2799,-0.018305208011016403,-0.0018226785196272357,1.059791189202954,-0.00447215649263462
2022-03-31,67,2999,0.13415522422768367,0.04432646198923927,1.0424237382140877,0.04172040264370405
2022-04-29,67,2308,0.06721044735650157,0.027222384431666538,1.0823932334997228,0.02451640134791723
2022-05-31,67,2998,-0.10255228193417981,-0.04499769682991551,1.0858569838619923,-0.047712339289570485
2022-06-30,67,2999,-0.03187412937205663,-0.013643001098384698,0.8942373821408763,-0.01587859455373689
2022-08-31,67,2936,0.16076485714000693,0.03875713776126518,0.7244093178036606,0.03694611446675603
2022-09-30,67,2962,0.03636628628371247,0.009924054250298978,0.813519780319949,0.007890254799499105
2022-10-31,67,2969,-0.041574553770057775,-0.0018469572042851962,0.6560224089635854,-0.0034870132266941597
2022-11-30,67,2999,0.058981383800210466,0.011037480547392668,0.7360537992235163,0.009197346049333878
2022-12-30,67,2776,-0.13609828386675085,-0.04633887390244592,0.7560371602884082,-0.04822896680316694
2023-01-31,67,2997,0.11570634643125506,0.027202695160232545,0.8593261231281198,0.025054379852412247
2023-02-28,67,2851,0.05547112135261777,0.006585528011577819,0.8776289517470882,0.004391455632210098
2023-03-31,67,2966,0.10595192739476612,0.01879758302481562,1.0800188506765236,0.016097535898124314
2023-05-31,67,2998,0.08262778186706993,0.017629661707789457,0.7223094045631607,0.015823888196381555
2023-06-30,67,2893,-0.014236167424528667,-0.007805051025459779,0.9807818586533111,-0.010257005672093056
2023-07-31,67,2996,0.10776628245140728,0.026568114782140932,0.7806455203116305,0.024616500981361856
2023-08-31,67,2999,0.03470177611755942,-0.0013560276072118933,0.7077176927343316,-0.0031253218390477223
2023-09-29,67,1723,0.026560620744537234,0.014852768648836508,1.2289822518025513,0.01178031301933013
2023-10-31,67,2997,0.009404558022589271,-0.00010331635185820837,1.322762938230384,-0.0034102236974341686
2023-11-30,67,2998,-0.00026481464183820876,-0.005957712062642596,0.6705537006121314,-0.007634096314172925
2024-01-31,67,2999,0.21138971156715664,0.06073647798810072,0.9191680532445923,0.05843855785498924
2024-02-29,67,2999,0.07899047861237903,0.020459443053189454,0.722681641708264,0.018652738948918793
2024-04-30,67,2997,0.1220310200900485,0.03367229487263483,1.085856983861992,0.03095765241297985
2024-05-31,67,2967,0.12008156429599769,0.029283444087376674,0.6889343350027823,0.02756110824986972
2024-07-31,67,2997,0.13379075690645537,0.031607048389040805,1.0490765391014976,0.02898435704128706
2024-08-30,67,2928,-0.05174588163889157,-0.036941218794411354,0.8109927897947865,-0.03896870076889832
2024-09-30,67,3000,0.06145169824323538,-0.007133254237564821,0.9042928452579035,-0.00939398635070958
2024-10-31,67,2972,0.036468191138993904,-0.005734386925836665,0.5861564059900166,-0.007199777940811707
2024-11-29,67,2994,0.17931035846788665,0.03761776275486033,0.8153918738588841,0.03557928307021312
2024-12-31,67,2034,0.10605931669766262,0.026200581396716733,1.3300400332773128,0.02287548131352345
2025-01-31,67,1846,-0.012955619731571512,-0.008539320355653607,1.3850534367775746,-0.012001953947597543
2025-02-28,67,2778,0.027184696763415086,0.011704218201253076,1.1448927344610798,0.008841986365100377
2025-03-31,67,2796,0.09571046307868451,0.021603064361438187,1.0795649118323536,0.018904152081857303
2025-04-30,67,2952,0.016562891728562946,-0.00822688700800732,0.875608706874301,-0.010415908775193071
2025-05-30,67,2711,-0.13339378047440434,-0.03661698874327092,0.7705612435114285,-0.03854339185204949
2025-06-30,67,2998,0.0678549396800666,0.024962712634108868,1.069201446855871,0.02228970901696919
2025-07-31,67,2997,0.04481895655358511,0.02075670155081953,0.7044065446478092,0.018995685189200008
2025-09-30,67,2999,-0.10029082238016905,-0.03803177325024915,0.90420410427066,-0.0402922835109258
2025-10-31,67,2919,0.013513099643760669,0.0070560164745071124,0.6888703394546466,0.0053338406258704955
2025-12-31,67,2034,0.04621052065201315,0.015400690015090385,1.2815039222573468,0.012196930209447019
2026-01-30,67,2992,-0.02596313885092741,-0.019030752087320198,1.124533084684061,-0.02184208479903035
2026-02-27,67,2821,-0.013347444264719274,-0.0020210078756470046,0.7702525390701336,-0.003946639223322339
2026-03-31,67,2898,-0.04899349631663896,-0.022109387005474854,1.0852513502285002,-0.024822515381046104
2026-04-30,67,2990,0.1470657468531594,0.051446521097268515,0.7073121869782971,0.04967824062982277
2026-06-12,67,2980,0.04359405253840035,0.019774508476781465,0.7273094045631608,0.017956234965373564
