pair_number,left_group,right_group,same_group,same_family,same_formula,mean_score_correlation,median_date_score_correlation,mean_top_jaccard,mean_bottom_jaccard,complete_correlation_dates
4184,Price,Accounting,False,False,False,0.10114407,0.083736315,0.13611138,0.149197,103
4185,Price,Accounting,False,False,False,0.1156164,0.13693817,0.13595864,0.1672454,103
4186,Price,Accounting,False,False,False,0.12157608,0.12001616,0.18431458,0.0,103
4187,Price,Trading,False,False,False,0.199088,0.19694883,0.14195083,0.16792893,103
4188,Price,Trading,False,False,False,0.40587452,0.46770412,0.25976497,0.23053078,86
4189,Price,Price,True,False,False,-0.003130346,-0.0030693552,0.06197022,0.15105058,103
4190,Price,Accounting,False,False,False,-0.16347371,-0.15845951,0.042904384,0.0,92
4191,Price,Accounting,False,False,False,-0.066909075,-0.06641532,0.12140553,0.082944706,103
4192,Price,Accounting,False,False,False,0.14287639,0.15869813,0.12442193,0.15709765,103
4193,Price,Accounting,False,False,False,-0.0013463298,0.011183602,0.09595722,0.122177154,103
4194,Price,Price,True,False,False,-0.006597707,-0.017921306,0.058966108,0.14465202,102
4195,Price,Trading,False,False,False,0.18041664,0.26212978,0.18615709,0.16002654,103
4196,Price,Trading,False,False,False,-0.037146375,-0.017226495,0.066773064,0.13207006,103
4197,Price,Accounting,False,False,False,0.052397616,0.044077367,0.12043884,0.13440306,91
4198,Price,Trading,False,False,False,-0.2046183,-0.265456,0.033659656,0.0,103
4199,Price,Trading,False,False,False,-0.09267375,-0.02971835,0.019173156,0.0,103
4200,Price,Trading,False,False,False,-0.1860304,-0.25031924,0.031584144,0.0,103
4201,Trading,Event,False,False,False,-0.06501783,-0.019160558,0.0,0.0069699194,100
4202,Trading,Price,False,False,False,-0.013370622,0.006714591,0.10575695,0.110660024,103
4203,Trading,Price,False,False,False,-0.07305841,-0.077329546,0.10927069,0.09702228,103
4204,Trading,Accounting,False,False,False,-0.0023133324,0.013909079,0.14196976,0.08990619,103
4205,Trading,Accounting,False,False,False,-0.014801151,0.01021009,0.14672765,0.093344145,91
4206,Trading,Accounting,False,False,False,-0.0015629152,0.009564104,0.14138508,0.092449754,91
4207,Trading,Accounting,False,False,False,-0.06526541,-0.06669138,0.082553335,0.109959535,103
4208,Trading,Price,False,False,False,0.11760364,0.13214388,0.19338432,0.12026847,103
4209,Trading,Price,False,False,False,-0.15054198,-0.14434998,0.062991664,0.08923714,103
