population,variant,metric,block_length_months,replications,allocation,observations,estimate,ci_2_5,bootstrap_median,ci_97_5,p_two_sided
us_domestic_fixed,us_deduplicated,spread_winsorised,6,2000,trailing_positive_evidence,65,-0.00787212699365582,-0.022107533566634075,-0.007967629096668212,0.004999645117129226,0.239
us_domestic_fixed,us_deduplicated,net_spread_10bps,6,2000,equal_signal,64,-0.009854867489039599,-0.025208124393183536,-0.00983084911486298,0.006709071822694647,0.233
us_domestic_fixed,us_deduplicated,net_spread_10bps,6,2000,equal_group,64,-0.006912048774890422,-0.02204425802784334,-0.007014462812255453,0.00979787641266407,0.406
us_domestic_fixed,us_deduplicated,net_spread_10bps,6,2000,inverse_redundancy,64,-0.007187687860199594,-0.021671468475192184,-0.007317667125220505,0.008122768607596961,0.353
us_domestic_fixed,us_deduplicated,net_spread_10bps,6,2000,trailing_positive_evidence,64,-0.011848641532336364,-0.026640264170140888,-0.011900228814704903,0.002877921471302381,0.124
us_domestic_fixed,us_deduplicated,net_spread_25bps,6,2000,equal_signal,64,-0.010749562637640995,-0.02648133536592882,-0.01098081128221173,0.004827179549350559,0.197
us_domestic_fixed,us_deduplicated,net_spread_25bps,6,2000,equal_group,64,-0.007803432312239152,-0.023262031604662756,-0.008180652836158257,0.007820836221274994,0.359
us_domestic_fixed,us_deduplicated,net_spread_25bps,6,2000,inverse_redundancy,64,-0.008092989589720073,-0.022874439520535302,-0.008273840303421466,0.006420389260057415,0.302
us_domestic_fixed,us_deduplicated,net_spread_25bps,6,2000,trailing_positive_evidence,64,-0.012931235658937609,-0.02770912144966992,-0.01275424827193543,0.001074571036728284,0.084
us_domestic_fixed,us_deduplicated,net_spread_50bps,6,2000,equal_signal,64,-0.012240721218643325,-0.028005357183879167,-0.012795592358982099,0.0031363283788575606,0.118
us_domestic_fixed,us_deduplicated,net_spread_50bps,6,2000,equal_group,64,-0.009289071541153698,-0.02515589912940642,-0.009738486163562496,0.006251216502891465,0.241
us_domestic_fixed,us_deduplicated,net_spread_50bps,6,2000,inverse_redundancy,64,-0.009601825805587539,-0.024635508587299938,-0.010078599735993416,0.004785827307864466,0.198
us_domestic_fixed,us_deduplicated,net_spread_50bps,6,2000,trailing_positive_evidence,64,-0.01473555920327302,-0.029953636911318953,-0.01523541095788519,-0.0008649216047725367,0.043
us_domestic_fixed,us_deduplicated,net_spread_100bps,6,2000,equal_signal,64,-0.015223038380647988,-0.030340233766976123,-0.015195562077589524,0.000733388017473087,0.06
us_domestic_fixed,us_deduplicated,net_spread_100bps,6,2000,equal_group,64,-0.012260349998982786,-0.02750800210505242,-0.012267742372992229,0.0028746461265927643,0.115
us_domestic_fixed,us_deduplicated,net_spread_100bps,6,2000,inverse_redundancy,64,-0.012619498237322472,-0.02723602981169434,-0.012486296018004089,0.0013990824616892078,0.088
us_domestic_fixed,us_deduplicated,net_spread_100bps,6,2000,trailing_positive_evidence,64,-0.018344206291943842,-0.03330726199469046,-0.017913770977069997,-0.00412745286448039,0.012
