population,variant,allocation,period,dates,mean_ic,mean_spread,positive_ic_fraction,positive_spread_fraction
gbp_fixed,broad_deduplicated,trailing_positive_evidence,2020-2022,31,0.028251180549867933,0.0037625078617619053,0.6129032258064516,0.5483870967741935
gbp_fixed,broad_deduplicated,trailing_positive_evidence,2023-2026,35,0.05861958397572341,0.0057728632690277545,0.7714285714285715,0.6
gbp_fixed,native,equal_group,2016-2019,37,0.04205569461975274,0.006326178344464507,0.7567567567567568,0.6756756756756757
gbp_fixed,native,equal_group,2020-2022,31,0.03435748481414126,0.005151546735096985,0.6451612903225806,0.6129032258064516
gbp_fixed,native,equal_group,2023-2026,35,0.05267695981924549,-2.8650708795534274e-05,0.8,0.5428571428571428
gbp_fixed,native,equal_signal,2016-2019,37,0.037153173935687615,0.00412639143314115,0.6486486486486487,0.6486486486486487
gbp_fixed,native,equal_signal,2020-2022,31,0.02737899679151247,0.0021138933231051944,0.6774193548387096,0.6129032258064516
gbp_fixed,native,equal_signal,2023-2026,35,0.04901288005814687,-0.001751598862258771,0.8,0.4857142857142857
gbp_fixed,native,inverse_redundancy,2016-2019,1,0.11431660733734117,0.009662569444399511,1.0,1.0
gbp_fixed,native,inverse_redundancy,2020-2022,31,0.03378789711901966,0.006002376026041042,0.5806451612903226,0.6129032258064516
gbp_fixed,native,inverse_redundancy,2023-2026,35,0.053589286906263765,0.0017825332711716062,0.7714285714285715,0.5714285714285714
gbp_fixed,native,trailing_positive_evidence,2016-2019,1,0.10240685167810437,0.018957678415256946,1.0,1.0
gbp_fixed,native,trailing_positive_evidence,2020-2022,31,0.030368717504606516,0.007298950601072377,0.6774193548387096,0.6451612903225806
gbp_fixed,native,trailing_positive_evidence,2023-2026,35,0.03785092163810158,-0.0004315901397841364,0.8,0.6
us_domestic_fixed,us_deduplicated,equal_group,2016-2019,36,0.0026038550517645093,-0.002692634822062919,0.5,0.4166666666666667
us_domestic_fixed,us_deduplicated,equal_group,2020-2022,30,0.004393537031030462,-0.006620475478278199,0.5666666666666667,0.6
us_domestic_fixed,us_deduplicated,equal_group,2023-2026,35,0.00469610886632206,-0.005150282272135317,0.5142857142857142,0.37142857142857144
us_domestic_fixed,us_deduplicated,equal_signal,2016-2019,36,0.021981954607936713,0.0010960680232203687,0.6111111111111112,0.5277777777777778
us_domestic_fixed,us_deduplicated,equal_signal,2020-2022,30,-0.0012586943854312768,-0.009278687156309303,0.5333333333333333,0.5333333333333333
us_domestic_fixed,us_deduplicated,equal_signal,2023-2026,35,-0.005420939537537633,-0.008093983376093471,0.5142857142857142,0.45714285714285713
us_domestic_fixed,us_deduplicated,inverse_redundancy,2020-2022,30,0.007992585739964975,-0.007709409512530069,0.5666666666666667,0.6
us_domestic_fixed,us_deduplicated,inverse_redundancy,2023-2026,35,0.0038686905485346827,-0.004677952065141031,0.4857142857142857,0.4
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,2020-2022,30,-0.023607547159365406,-0.01546243741178342,0.5666666666666667,0.5
us_domestic_fixed,us_deduplicated,trailing_positive_evidence,2023-2026,35,0.004317286629290553,-0.006905186674213558,0.42857142857142855,0.4857142857142857
us_domestic_fixed,us_eligible,equal_group,2016-2019,36,-0.0024611280476418184,-0.003932005260152645,0.5,0.4444444444444444
us_domestic_fixed,us_eligible,equal_group,2020-2022,30,0.002629592703077503,-0.008359701324492081,0.5333333333333333,0.5666666666666667
us_domestic_fixed,us_eligible,equal_group,2023-2026,35,0.005132658143258171,-0.003977531731985077,0.5142857142857142,0.4
us_domestic_fixed,us_eligible,equal_signal,2016-2019,36,0.014607581879557198,-0.001105567538010973,0.6388888888888888,0.4722222222222222
us_domestic_fixed,us_eligible,equal_signal,2020-2022,30,-0.0036480654806233617,-0.011817218660438396,0.5666666666666667,0.5666666666666667
us_domestic_fixed,us_eligible,equal_signal,2023-2026,35,-0.005773028339118635,-0.00831855729386406,0.5142857142857142,0.37142857142857144
us_domestic_fixed,us_eligible,inverse_redundancy,2020-2022,30,0.00676920681154838,-0.004893593244977987,0.5666666666666667,0.6
us_domestic_fixed,us_eligible,inverse_redundancy,2023-2026,35,0.003670706409524186,-0.0042079258560499605,0.4857142857142857,0.4
