population,variant,group,signals,ic_n,ic_mean,ic_se,ic_t,ic_p,spread_n,spread_mean,spread_se,spread_t,spread_p,marginal_ic_n,marginal_ic_mean,marginal_ic_se,marginal_ic_t,marginal_ic_p
us_domestic_fixed,us_deduplicated,Other,4,101,0.004370340542641851,0.013123177759175467,0.3330245633216539,0.7391157416005832,90,0.005305585965741744,0.004813274567807408,1.1022820100949693,0.2703390879047005,101,0.001806490154781948,0.006523036732967654,0.2769400554885555,0.7818261351517981
us_domestic_fixed,us_deduplicated,Price,31,101,0.0011915493383409049,0.017421725849087404,0.06839444890032645,0.9454716406205409,101,-0.007501516912976564,0.005505681389962948,-1.362504725873185,0.17303865373702265,101,-0.0022876481221031086,0.00814417536119123,-0.2808937701666212,0.7787918790548304
us_domestic_fixed,us_deduplicated,Trading,11,101,0.006553609155527208,0.007889940664877033,0.8306284462570603,0.40618355975353837,101,0.003290533284002418,0.0028988926918493314,1.135100065364352,0.25633339418790646,101,0.0007302897776820302,0.0041705693543081825,0.17510553491399047,0.8609967092345464
us_domestic_fixed,us_eligible,Accounting,53,101,0.004078220485258391,0.009063294196306946,0.44997110288223446,0.6527312770914966,101,-0.002091977901031733,0.003216986847889649,-0.6502910953472114,0.5155042078998142,101,0.0017248646865682502,0.00486060221153392,0.3548664571799866,0.7226896384275504
us_domestic_fixed,us_eligible,Event,5,101,-0.0051308239754465365,0.015875665741237308,-0.32318795690684865,0.7465529009334213,0,,,,,101,-0.004637033198911768,0.00526950169072929,-0.87997565444751,0.37887249836078774
us_domestic_fixed,us_eligible,Other,4,101,0.004370340542641851,0.013123177759175467,0.3330245633216539,0.7391157416005832,90,0.005305585965741744,0.004813274567807408,1.1022820100949693,0.2703390879047005,101,0.002040397020967643,0.0064588379189540164,0.31590776027680184,0.7520725214943894
us_domestic_fixed,us_eligible,Price,34,101,-0.00015171004544147805,0.017960852418243235,-0.008446706309294252,0.9932605835856257,101,-0.008600280161024562,0.005700904547016285,-1.5085816803450496,0.1314057186871331,101,-0.0027816733086897237,0.008327583794798896,-0.33403126011497536,0.7383559699531169
us_domestic_fixed,us_eligible,Trading,11,101,0.006553609155527208,0.007889940664877033,0.8306284462570603,0.40618355975353837,101,0.003290533284002418,0.0028988926918493314,1.135100065364352,0.25633339418790646,101,0.0009656411465328338,0.004133616099782622,0.23360687669655988,0.8152901886219507
us_domestic_fixed,us_native,Accounting,8,101,0.0021755017228541652,0.010436321262116915,0.20845484421326485,0.8348738372250404,101,-0.006633958482535191,0.004096747338239237,-1.6193233155028874,0.10537771665231693,101,-2.880593681158823e-05,0.005255271233324073,-0.005481341596400886,0.9956265440679138
us_domestic_fixed,us_native,Price,12,101,0.00027408149883782003,0.01854245580913514,0.014781294433652678,0.988206662832089,101,-0.007371712664420338,0.005604677655433469,-1.3152786150464535,0.18841628247787012,101,-0.003477233952271048,0.009642523123555822,-0.3606145308354487,0.7183876252301764
us_domestic_fixed,us_native,Trading,8,101,0.017195500468004343,0.007562886247083646,2.2736690604906515,0.02298589175431627,101,0.005498302066226325,0.0025652520143480996,2.143376960810454,0.03208284155381525,101,0.00805308362739999,0.004687510878593147,1.7179871867981555,0.08579895242916447
