population,variant,allocation,metric,block_length_months,replications,observations,estimate,ci_2_5,bootstrap_median,ci_97_5,p_two_sided
gbp_fixed,broad_deduplicated,equal_group,net_spread_25bps,12,1000,102,0.0025303554435699128,-0.0042710029074297245,0.0026366578777910635,0.007929818368533976,0.418
gbp_fixed,broad_deduplicated,equal_signal,ic,6,2000,103,0.049138248399426335,0.02920853076377341,0.04937528875704272,0.06774748097999561,0.0
gbp_fixed,broad_deduplicated,equal_signal,spread,6,2000,103,0.009087185948563071,0.003177601036229485,0.009121701914262988,0.014677243362394525,0.001
gbp_fixed,broad_deduplicated,equal_signal,spread_winsorised,6,2000,103,0.009609366928884875,0.0035873241084138797,0.009655828600592851,0.015559088552764753,0.003
gbp_fixed,broad_deduplicated,equal_signal,net_spread_25bps,6,2000,102,0.0070379743084943635,0.0010440284169972922,0.007056199002228632,0.012757708722946497,0.023
gbp_fixed,broad_deduplicated,equal_signal,ic,3,1000,103,0.049138248399426335,0.03096084906549805,0.049611547541148104,0.06604196742697038,0.0
gbp_fixed,broad_deduplicated,equal_signal,spread,3,1000,103,0.009087185948563071,0.0033306120173974417,0.009147850724144039,0.01496564065839035,0.002
gbp_fixed,broad_deduplicated,equal_signal,spread_winsorised,3,1000,103,0.009609366928884875,0.003324065612996702,0.00945802841469567,0.015140690487150884,0.002
gbp_fixed,broad_deduplicated,equal_signal,net_spread_25bps,3,1000,102,0.0070379743084943635,0.0009473258803101167,0.00726568477939832,0.012524430170520774,0.026
gbp_fixed,broad_deduplicated,equal_signal,ic,12,1000,103,0.049138248399426335,0.029179318924853904,0.04960352037421674,0.06854382270754913,0.0
gbp_fixed,broad_deduplicated,equal_signal,spread,12,1000,103,0.009087185948563071,0.0032002313370865735,0.00920238672672933,0.014874615943866944,0.004
gbp_fixed,broad_deduplicated,equal_signal,spread_winsorised,12,1000,103,0.009609366928884875,0.004103088977210203,0.009927924270946333,0.014571473660578527,0.002
gbp_fixed,broad_deduplicated,equal_signal,net_spread_25bps,12,1000,102,0.0070379743084943635,0.000923870844991969,0.007248207986596447,0.01293359280039391,0.024
gbp_fixed,broad_deduplicated,inverse_redundancy,ic,6,2000,67,0.03306839840370532,0.00474477260150612,0.034512393995579996,0.05710721833521039,0.02
gbp_fixed,broad_deduplicated,inverse_redundancy,spread,6,2000,67,0.004771388713919047,-0.005425357055208258,0.005100783735163707,0.013236824470341215,0.291
gbp_fixed,broad_deduplicated,inverse_redundancy,spread_winsorised,6,2000,67,0.005510003333797976,-0.0035655768199831456,0.005552917136478173,0.01329339097524893,0.235
gbp_fixed,broad_deduplicated,inverse_redundancy,net_spread_25bps,6,2000,66,0.0028424903695653766,-0.0070751631455784605,0.0033064974073309505,0.010979344783261579,0.536
gbp_fixed,broad_deduplicated,inverse_redundancy,ic,3,1000,67,0.03306839840370532,0.007339618605334885,0.03384393329843574,0.05447127653010944,0.02
gbp_fixed,broad_deduplicated,inverse_redundancy,spread,3,1000,67,0.004771388713919047,-0.003781541692594637,0.004976367059513394,0.012414996177068245,0.284
gbp_fixed,broad_deduplicated,inverse_redundancy,spread_winsorised,3,1000,67,0.005510003333797976,-0.0031557645074514152,0.005463643624774665,0.013490024807353562,0.208
gbp_fixed,broad_deduplicated,inverse_redundancy,net_spread_25bps,3,1000,66,0.0028424903695653766,-0.006846714265063909,0.0028021609250638417,0.010561318847118174,0.512
gbp_fixed,broad_deduplicated,inverse_redundancy,ic,12,1000,67,0.03306839840370532,0.004139581222950345,0.034300925768113805,0.05559535687008716,0.022
gbp_fixed,broad_deduplicated,inverse_redundancy,spread,12,1000,67,0.004771388713919047,-0.004810855867241666,0.005139040670169919,0.012889449257900571,0.32
gbp_fixed,broad_deduplicated,inverse_redundancy,spread_winsorised,12,1000,67,0.005510003333797976,-0.003524153134748247,0.00618261454743824,0.013445505829184719,0.22
gbp_fixed,broad_deduplicated,inverse_redundancy,net_spread_25bps,12,1000,66,0.0028424903695653766,-0.007363001195230493,0.003281534760146052,0.011003332200954808,0.53
gbp_fixed,broad_deduplicated,trailing_positive_evidence,ic,6,2000,67,0.04453162453746648,0.01680897770289733,0.04534418320907719,0.06988292024644151,0.003
gbp_fixed,broad_deduplicated,trailing_positive_evidence,spread,6,2000,67,0.004807041165996058,-0.0029829414001965515,0.004592301325344989,0.01226381084148942,0.239
gbp_fixed,broad_deduplicated,trailing_positive_evidence,spread_winsorised,6,2000,67,0.005773126290349156,-0.002293804399522148,0.005682185738192609,0.013508967585640052,0.173
gbp_fixed,broad_deduplicated,trailing_positive_evidence,net_spread_25bps,6,2000,66,0.0025366122817488818,-0.005631410658475402,0.002673284227204872,0.01039196483848749,0.512
gbp_fixed,broad_deduplicated,trailing_positive_evidence,ic,3,1000,67,0.04453162453746648,0.02059542159656035,0.04504502605056661,0.0678235465622185,0.0
gbp_fixed,broad_deduplicated,trailing_positive_evidence,spread,3,1000,67,0.004807041165996058,-0.002809971125587573,0.004718883652838903,0.01257681419898358,0.218
gbp_fixed,broad_deduplicated,trailing_positive_evidence,spread_winsorised,3,1000,67,0.005773126290349156,-0.0013436381917378394,0.006084530781819543,0.013116373856205316,0.112
gbp_fixed,broad_deduplicated,trailing_positive_evidence,net_spread_25bps,3,1000,66,0.0025366122817488818,-0.005183885913673844,0.0024271422651945254,0.009983801096987785,0.53
gbp_fixed,broad_deduplicated,trailing_positive_evidence,ic,12,1000,67,0.04453162453746648,0.015700764866176005,0.04467214530703327,0.06988489876154003,0.004
gbp_fixed,broad_deduplicated,trailing_positive_evidence,spread,12,1000,67,0.004807041165996058,-0.002465490096186038,0.004957684424401795,0.012070980710088393,0.216
gbp_fixed,broad_deduplicated,trailing_positive_evidence,spread_winsorised,12,1000,67,0.005773126290349156,-0.0015403900443414747,0.005981312012465385,0.01329515426735584,0.112
gbp_fixed,broad_deduplicated,trailing_positive_evidence,net_spread_25bps,12,1000,66,0.0025366122817488818,-0.005624849144571489,0.002527898582388415,0.010101865401666287,0.542
gbp_fixed,native,equal_group,ic,6,2000,103,0.04334792547420217,0.02465271395976225,0.043278964940987576,0.060811855566871194,0.0
gbp_fixed,native,equal_group,spread,6,2000,103,0.003813240511896597,-0.0024722474709281453,0.0039262423702961565,0.010086013347084128,0.243
gbp_fixed,native,equal_group,spread_winsorised,6,2000,103,0.005100403304363766,-0.001191967397235508,0.005188584410127968,0.010994018191095594,0.113
gbp_fixed,native,equal_group,net_spread_25bps,6,2000,102,0.0015569954477108162,-0.005118898119807128,0.0015919613824543796,0.007815236226940045,0.658
