population,variant,signal_date,signals,weighted_sleeve_turnover,aggregate_sleeve_turnover,trade_cancellation,aggregate_gross_exposure,aggregate_net_exposure,top10_trade_share,capacity_line_items,capacity_p10_gbp_at_1pct,capacity_median_gbp_at_1pct,capacity_p10_gbp_at_5pct,capacity_median_gbp_at_5pct,capacity_p10_gbp_at_10pct,capacity_median_gbp_at_10pct
gbp_fixed,broad_deduplicated,2017-11-30,106,0.32254496880999484,0.10035113823812357,0.6888770622950298,0.3477686371032205,0.0,0.016586043232177886,2944,230539209.12697282,2708498211.4787083,1152696045.634864,13542491057.393541,2305392091.269728,27084982114.787083
gbp_fixed,broad_deduplicated,2018-01-31,106,0.6066415466269864,0.1532153819923483,0.7474367147383035,0.3359595350770203,0.0,0.015777810228641626,2953,143537912.92765248,1715971658.8201826,717689564.6382625,8579858294.100913,1435379129.276525,17159716588.201826
gbp_fixed,broad_deduplicated,2018-02-28,106,0.3747966519358027,0.10130186211185133,0.7297151359580372,0.343313435493252,-6.938893903907228e-18,0.018356645236521082,2805,265428457.62448156,2831881850.799178,1327142288.122408,14159409253.99589,2654284576.244816,28318818507.99178
gbp_fixed,broad_deduplicated,2018-03-30,106,0.896024681131721,0.1900843382438667,0.7878581447067046,0.3418215167320465,-2.0816681711721685e-17,0.013945751434346575,1941,132457305.91684265,1053720233.7320375,662286529.5842133,5268601168.660188,1324573059.1684265,10537202337.320375
gbp_fixed,broad_deduplicated,2018-04-30,106,1.219268435589255,0.27504185757843613,0.7744205873372647,0.393032924600116,-4.85722573273506e-17,0.014144454979978382,1943,66568524.27724353,1133259428.3487473,332842621.38621765,5666297141.743736,665685242.7724353,11332594283.487473
gbp_fixed,broad_deduplicated,2018-05-31,106,0.8816131229010117,0.1961747973407699,0.7774819904049948,0.3857795657003995,-1.3877787807814457e-17,0.01428758329328761,2920,116122844.5021684,1347530551.7673388,580614222.510842,6737652758.836694,1161228445.021684,13475305517.673388
gbp_fixed,broad_deduplicated,2018-06-29,106,0.33933096132767726,0.09671156490999783,0.7149933960296431,0.3665733398699758,-1.3877787807814457e-17,0.017372035696724807,2915,240612747.45605493,2649805782.360441,1203063737.2802746,13249028911.802208,2406127474.5605493,26498057823.604416
gbp_fixed,broad_deduplicated,2018-07-31,106,0.5399005996031901,0.1508042246538034,0.7206815018085927,0.3440186653508388,2.7755575615628914e-17,0.01512678160954916,2950,122668128.04744695,1545447429.2192707,613340640.2372348,7727237146.0963545,1226681280.4744697,15454474292.192709
gbp_fixed,broad_deduplicated,2018-08-31,106,0.3776421173828707,0.10070294523344578,0.7333376215255446,0.3542037734353573,2.7755575615628914e-17,0.019508574923433605,2928,194455677.04001787,2306915556.38604,972278385.2000896,11534577781.930202,1944556770.4001791,23069155563.860405
gbp_fixed,broad_deduplicated,2018-10-31,106,0.5615308138221154,0.13973517128693733,0.7511531551833889,0.3609603227751644,6.245004513516506e-17,0.01577810483374719,2972,118365813.54104684,1463651756.179822,591829067.7052343,7318258780.899111,1183658135.4104686,14636517561.798222
